first/last,A (UB),B (UR),D (UL),F (FR),G (FD),H (FL),I (DF),J (DR),K (DB),L (DL),M (RB),N (RD),O (RF),P (RU),Q (LB),R (LU),S (LF),T (LD),U (BD),V (BR),W (BU),Y (BL)
A (UB),,"[R2 U' : [S, R2]]","[U' M2 U : [M, U2]]","[R' U' : [S, R2]]","[U' M U : [M, U2]]", ,"[U2, M']","[U' : [S, R2]]","[M, U2]","[U : [S', L2]]","[U : [L' E L, U2]]","[U' : [R E R', U2]]","[U : [L E' L', U2]]","[S U' : [S, R2]]","[U' : [R E' R', U2]]","[U' M U' : [M', U2]]","[U' : [R' E R, U2]]","[U : [L' E' L, U2]]","[U M' U : [M', U2]]","[R U' : [S, R2]]",,"[L' U : [S', L2]]"
B (UR),"[R2 U' : [R2, S]]",,"[M2 U : [M, U2]]","[E' : [U', R' E R]]","[M', R U' R' U]","[U', R E2 R']","[M U2 M, U]","[R' U R' : [S, R2]]","[M2, R U' R' U]",U' L' U' L U L U L U' L',"[U : [U, L' E L]]","[U', R E R']","[U : [L E' L', U]]",,"[U', R E' R']","[S', L F' L']","[U', R' E R]","[U : [L' E' L, U]]",(U M U M')2,"[M : [U M' U', R']]","[M, R' U' R U]","[U', R' E2 R]"
D (UL),[M2 : u M' u2 M' u],"[M2 U' : [M, U2]]",,"[U, L' E2 L]","[M', L' U L U']","[E : [U, L E' L']]","[R' F' : [R S R', F2]]",U R U R' U' R' U' R' U R,D' U R U R' U' R' U' R' U R D,"[L U' L : [S', L2]]","[U, L' E L]","[U' : [R E R', U']]","[U, L E' L']","[S, R' F R]","[U' : [U', R E' R']]",,"[U' : [R' E R, U']]","[U, L' E' L]",(U' M U' M')2,"[U, L E2 L']","[M, L U L' U']","[E' : [U, L' E L]]"
F (FR),"[R' U' : [R2, S]]","[E' : [R' E R, U']]","[L' E2 L, U]",,"[M', U' R U]","[R' U' R : [E, R2]]","[D' U L : [E', L2]]",U R' U' R' U R U R U R' U2,"[U D L : [E', L2]]","[U L : [E', L2]]","[R U' R', E']","[R' f R' : [S', R2]]",,"[l F : [l' S' l, F]]","[R : [U', R E' R']]","[S' U L : [E', L2]]","[R U' R', E]","[L' E' : [E', L U L']]","[U' : [U' M U, R]]","[U R' : [S, R2]]","[M, U' R U]","[R' U' R' : [E', R2]]"
G (FD),"[U M U : [M, U2]]","[R U' R' U, M']","[L' U L U', M']","[M', U' R U]",,"[U L' U', M']",,"[U' R2 U, M']","[D : [R F R', S']]","[U' L F L : [S', L2]]","[M' : [U R' U', M']]","[U' : [S', R' F' R]]","[M' : [U R U', M']]","[r : [U R' U', M']]","[U' M' : [R E' R', U']]","[L F : [E', L' U L]]","[M' : [U' L' U, M']]","[U : [S, L F L']]",U M' U' M U2 M U M' U,"[U' R' U, M']","[U' : [S, R' F' R]]","[U L U', M']"
H (FL),"[L U' : [S', L2]]","[R E2 R', U']","[E : [L E' L', U]]","[R' U' R' : [E, R2]]","[M', U L' U']",,"[U' D R' : [E, R2]]","[U' R' : [E, R2]]","[U' D' R' : [E, R2]]",U' L U L U' L' U' L' U' L U2,"[L' : [U, L' E L]]","[R E : [E, R' U' R]]","[L' U L, E']","[S U' R' : [E, R2]]","[L' U L, E]","[r' F' : [r S r', F']]",,"[S' U' R' : [E, R2]]","[U : [U M U', L']]","[R U' R' : [E, R2]]","[M, U L' U']","[U' L : [S', L2]]"
I (DF),"[M', U2]","[U, M U2 M]","[R' F : [R S R', F2]]","[U D' L' : [E', L2]]",,"[U' D R : [E, R2]]",,"[R' F : [R S' R', F2]]",u2 M' u2 M',"[R' F : [R' S' R, F2]]","[F : [E, R2]]","[R' F : [E, R2]]","[R2' F : [E, R2]]",[M : u' M' u2 M' u'],"[F' : [E', L2]]",[M : u M' u2 M' u],"[L2 F' : [E', L2]]","[L F' : [E', L2]]","[D' : [S', R F R']]","[U D' L : [E, L2]]","[U : [R' F' R, S]]","[U' D R' : [E', R2]]"
J (DR),"[U' : [R2, S]]","[R U R' : [S, R2]]",R' U' R U R U R U' R' U',U2 R U' R' U' R' U' R U R U',"[U R' F' R : [S, R2]]","[U' R : [E, R2]]","[R' F' : [R S' R', F2]]",,"[M2, U' R2 U]","[D : [M, D2]]","[u' R' : [E', R2]]",,"[U' E' R : [E, R2]]","[S', R' F R]","[u' R : [E, R2]]","[L : [L S L', F']]","[U' E' R' : [E, R2]]","[S, L' F' L]","[D' R' F : [E, R2]]",R' U R U R U R' U' R' U',"[r' : [U' R' U, M']]","[U' R' : [E', R2]]"
K (DB),"[U2, M]","[R U' R' U, M2]",D' R' U' R U R U R U' R' U' D,"[D U L' : [E', L2]]","[D : [S', R F R']]","[D' U' R : [E, R2]]",M u2 M u2,"[U' R2 U, M2]",,"[L' D' U' R : [E, R2]]","[M' : [U R' U', M2]]","[U' : [R' B R, S]]","[M' : [U R U', M2]]","[r : [U R' U', M2]]","[M' : [U' L U, M2]]","[D : [S, L F' L']]","[M' : [U' L' U, M2]]","[U : [L B' L', S']]",,"[U D L : [E, L2]]","[D' r' : [U' R' U, M']]","[U' D' R' : [E', R2]]"
L (DL),"[U : [L2, S']]",L U L' U' L' U' L' U L U,"[L' U' L : [S', L2]]","[U L' : [E', L2]]","[U' L F L' : [S', L2]]",U2 L' U L U L U L' U' L' U,"[R' F' : [R' S' R, F2]]","[D' : [M, D2]]","[L' D' U' R' : [E, R2]]",,"[u L' : [E', L2]]","[S', R F R']","[U E L' : [E, L2]]","[R' : [R' S' R, F]]","[u L : [E, L2]]","[S, L F' L']","[U E L' : [E', L2]]",,"[D L F' : [E', L2]]","[U L : [E, L2]]","[U D : [R' F' R, S]]",L U' L' U' L' U' L U L U
M (RB),"[U' : [L' E L, U2]]","[U : [U, L' E L]]","[L' E L, U]","[E', R U' R']","[D R D', M]","[L' : [L' E L, U]]","[F : [R2, E]]","[u' R : [E', R2]]","[M : [U R' U', M2]]","[u L : [E', L2]]",,"[R, D' M D]","[E R U' R : [E', R2]]","[S' : [L' E L, U]]","[r U R' : [E', R2]]","[r' U' : [M', U2]]","[r U R : [E, R2]]","[M' U' L' : [E, L2]]",[R : (M D' M' D')2],,"[U R' U', M']","[E, L U L']"
N (RD),"[U : [R E R', U2]]","[R E R', U']","[U' : [U', R E R']]","[R' f R : [S', R2]]","[U' : [R' F' R, S']]","[R E : [R' U' R, E]]","[R' F : [R2, E]]",,"[U' : [S, R' B R]]","[R F R', S']","[D' M D, R]",,"[D' M D, R']","[F' R' : [E, R2]]","[M' U R' : [E', R2]]","[R' F R' : [S, R2]]","[M' U R : [E, R2]]","[M' D' : [M', D2]]",(M D' M' D')2,"[S U L : [E, L2]]","[U R2 U', M']","[R' E' : [R U' R', E']]"
O (RF),"[U' : [L E' L', U2]]","[U : [U, L E' L']]","[L E' L', U]",,"[F' : [R U' R', E]]","[E', L' U L]","[R2' F : [R2, E]]","[U' E' R' : [E, R2]]","[M : [U R U', M2]]","[U E L' : [E, L2]]","[E R U' R' : [E', R2]]","[R', D' M D]",,"[S' : [L E' L', U]]","[E R U' R : [E, R2]]","[M R U' : [M', U2]]","[U' E' L : [S', L2]]","[M' U' L : [E', L2]]",[R' : (M D' M' D')2],"[E, R' U' R]","[U R U', M']","[L : [L E' L', U]]"
P (RU),"[S U' : [R2, S]]",,"[R' F R, S]","[l F : [F, l' S' l]]","[R' F' : [R U' R', E]]","[S U' R : [E, R2]]",[M : u M u2 M u],"[R' F R, S']","[r : [M2, U R' U']]","[R' : [F, R' S' R]]","[S' : [U, L' E L]]","[F' R : [E, R2]]","[S' : [U, L E' L']]",,"[l U' : [M', U2]]","[M U' : [M', U2]]","[M L' U' : [M', U2]]","[L F' L' : [S', L2]]",[M' : (U' M' U' M)2],"[R u' R : [E', R2]]","[R U R' U', M']","[S U' R' : [E', R2]]"
Q (LB),"[U : [R E' R', U2]]","[R E' R', U']","[U' : [U', R E' R']]","[R : [R E' R', U']]","[U' M' : [U', R E' R']]","[E, L' U L]","[F' : [L2, E']]","[u' R' : [E, R2]]","[M : [U' L U, M2]]","[u L' : [E, L2]]","[r U R : [E', R2]]","[M' U R : [E', R2]]","[E R U' R' : [E, R2]]","[l U : [M', U2]]",,"[S : [R E' R', U']]","[E' L' U L' : [E, L2]]","[L', D M D']",[L' : (M D M' D)2],"[E', R' U' R]","[U' L U, M']",
R (LU),"[U' M U : [M', U2]]","[L F' L', S']",,"[S' U L' : [E', L2]]","[L F : [L' U L, E']]","[r' F' : [F', r S r']]",[M : u' M u2 M u'],"[L : [F', L S L']]","[l' : [M2, U' L U]]","[L F' L', S]","[r' U : [M', U2]]","[R' F R : [S, R2]]","[M R U : [M', U2]]","[M U : [M', U2]]","[S : [U', R E' R']]",,"[S : [U', R' E R]]","[F L' : [E', L2]]",[M' : (U M' U M)2],"[S' U L : [E, L2]]","[L' U' L U, M']","[U' l U : [M', U2]]"
S (LF),"[U : [R' E R, U2]]","[R' E R, U']","[U' : [U', R' E R]]","[E, R U' R']","[F : [L' U L, E']]",,"[L2 F' : [L2, E']]","[U' E' R : [E', R2]]","[M : [U' L' U, M2]]","[U E L : [E', L2]]","[r U R' : [E, R2]]","[M' U R' : [E, R2]]","[U E R' : [S, R2]]","[M L' U' : [M', U2]]","[E' L' U L : [E, L2]]","[S' : [R' E R, U']]",,"[L, D M D']",[l' : (U M' U M)2],"[R' : [R' E R, U']]","[U' L' U, M']","[E', L U L']"
T (LD),"[U' : [L' E' L, U2]]","[U : [U, L' E' L]]","[L' E' L, U]","[D : [U' R U, M']]","[U : [L F L', S]]","[S' U' R : [E, R2]]","[L F' : [L2, E']]","[L' F' L, S]","[U : [S', L B' L']]",,"[M' U' L : [E, L2]]","[M' D : [M', D2]]","[M' U' L' : [E', L2]]","[L F' L : [S', L2]]","[D M D', L']","[F L : [E', L2]]","[D M D', L]",,(M D M' D)2,"[D : [U' R' U, M']]","[U' L2 U, M']","[S' U' R' : [E', R2]]"
U (BD),"[U' M' U : [M', U2]]",(M U' M' U')2,(M U M' U)2,"[U' : [R, U' M U]]",U M U M' U2 M' U' M U,"[U : [L', U M U']]","[D' : [R F R', S']]","[D' R' F : [R2, E]]",,"[D L F' : [L2, E']]",[R : (D M D M')2],(D M D M')2,[r : (M' U M U)2],[M' : (M' U M U)2],[L' : (D' M D' M')2],[M' : (M' U' M U')2],[L : (D' M D' M')2],(D' M D' M')2,,"[U' : [R', U' M U]]","[D' : [U R2 U', M']]","[U : [L, U M U']]"
V (BR),"[R U' : [R2, S]]","[E : [R E' R', U']]","[L E2 L', U]","[U R : [S, R2]]","[M', U' R' U]","[R U' R : [E, R2]]","[U D' L' : [E, L2]]",U R U R U' R' U' R' U' R,"[U D L' : [E, L2]]","[U L' : [E, L2]]",,"[S U L' : [E, L2]]","[R' U' R, E]","[R u' R' : [E', R2]]","[R' U' R, E']","[S' U L' : [E, L2]]","[R' : [U', R' E R]]","[L E : [E, L' U L]]","[U' : [U' M U, R']]",,"[M, U' R' U]","[R U' R' : [E', R2]]"
W (BU),,"[R' U' R U, M]","[L U L' U', M]","[U' R U, M]","[U' : [R' F' R, S]]","[U L' U', M]","[U : [R' F' R, S]]","[R' : [U' R' U, M]]","[U : [S, R B R']]","[U D : [R' F' R, S]]","[M', U R' U']","[M', U R2 U']","[M', U R U']","[M', R U R' U']","[M', U' L U]","[M', L' U' L U]","[M', U' L' U]","[M', U' L2 U]","[D' : [M', U R2 U']]","[U' R' U, M]",,"[U L U', M]"
Y (BL),"[L' U' : [S', L2]]","[R' E2 R, U']","[E' : [L' E L, U]]","[R' U' R : [E', R2]]","[M', U L U']","[U' L' : [S', L2]]","[U' D R : [E', R2]]","[U' R : [E', R2]]","[U' D' R : [E', R2]]",U' L' U' L' U L U L U L',"[L U L', E]","[R' E' : [E', R U' R']]","[L : [U, L E' L']]","[S U' R : [E', R2]]",,"[L' u L : [E, L2]]","[L U L', E']","[S' U' R : [E', R2]]","[U : [U M U', L]]","[R U' R : [E', R2]]","[M, U L U']",